Fighter1_ID,Fighter2_ID,Winner_ID,Method,Round
408,628,408,TKO (doctor stoppage),3
3187,2578,3187,KO (punch),3
1554,2981,1554,TKO (body kick and punches),3
2491,1449,1449,KO (punch),3
3625,1925,1925,"Decision (split) (28–29, 30–27, 29–28)",3
3139,3292,3139,"Decision (unanimous) (30–27, 30–27, 30–27)",3
1488,184,1488,KO (punch),2
1633,90,90,KO (flying knee and punches),1
3592,2396,3592,TKO (punches),1
1802,1481,1802,"Decision (unanimous) (30–27, 30–27, 30–27)",3
1984,1376,1984,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1168,3238,1168,"Decision (unanimous) (29–28, 30–27, 30–27)",3
1637,2715,2715,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2596,1869,2596,"Decision (unanimous) (48–47, 48–47, 48–47)",5
1051,3461,1051,"Decision (split) (29–28, 28–29, 29–28)",3
1163,2107,2107,KO (slam and elbows),3
1703,546,546,TKO (elbows),3
2640,3033,2640,TKO (elbows and punches),2
1142,1852,1852,Technical Submission (anaconda choke),1
3130,907,907,"Decision (unanimous) (29–28, 29–28, 29–28)",3
390,242,242,"Decision (split) (28–29, 29–28, 29–28)",3
3524,107,107,TKO (punches),2
3387,823,3387,"Decision (unanimous) (29–28, 30–26, 30–27)",3
1184,540,540,Submission (rear-naked choke),3
1369,1203,1369,Submission (armbar),1
2317,405,2317,TKO (punches),1
948,3622,3622,"Decision (unanimous) (50–45, 50–45, 50–45)",5
3621,2654,3621,"Decision (unanimous) (30–27, 30–27, 30–27)",3
3060,2804,2804,KO (spinning wheel kick),1
3493,936,936,Technical Submission (rear-naked choke),2
3358,2332,3358,"Decision (unanimous) (30–27, 30–27, 29–28)",3
755,3679,3679,TKO (elbow and punches),1
1473,3646,3646,"Decision (unanimous) (30–27, 30–27, 29–28)",3
2941,931,2941,KO (head kick),3
3343,1312,1312,"Decision (split) (29–28, 28–29, 29–28)",3
1735,3606,3606,KO (punch),3
2175,1895,2175,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2094,1501,1501,TKO (spinning back kick and punches),3
529,2347,2347,"Decision (unanimous) (49–46, 49–46, 49–45)",5
633,2277,2277,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2988,139,139,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1813,2768,2768,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1952,2016,2016,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2081,1444,2081,Submission (guillotine choke),1
3351,764,3351,TKO (doctor stoppage),2
358,1040,358,KO (punches),1
1227,860,860,KO (punches),3
1254,2177,2177,"Decision (unanimous) (30–27, 29–28, 29–28)",3
1885,2552,2552,KO (punch),1
2735,327,327,"Decision (unanimous) (30–26, 30–27, 30–27)",3
2525,2692,2692,"Decision (unanimous) (29–27, 29–28, 29–28)",3
3291,5,5,TKO (knee and punches),1
1659,1111,1111,"Decision (unanimous) (30–27, 30–27, 29–28)",3
2590,2910,2590,TKO (punches),1
309,3111,309,Submission (rear-naked choke),1
1140,3326,1140,Submission (guillotine choke),1
2161,37,2161,"Decision (unanimous) (49–46, 50–45, 50–45)",5
311,2239,311,"Decision (unanimous) (48–47, 48–47, 48–47)",5
2650,1868,2650,"Decision (split) (29–28, 28–29, 29–28)",3
1460,670,1460,Submission (brabo choke),3
229,3144,3144,KO (punches),1
1092,1912,1912,"Decision (unanimous) (30–27, 29–28, 29–28)",3
2190,3661,3661,"Decision (unanimous) (30–27, 29–28, 29–28)",3
1520,1302,1520,Submission (guillotine choke),2
3663,2953,3663,Submission (arm-triangle choke),2
2728,2245,2728,"Decision (unanimous) (30–27, 30–27, 30–27)",3
