ID,Name,Win,Loss,Draw,height,stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
1,Danny Abbadi,4,6,0,5' 11,1,3.29,38,4.41,57,0,0,77,0
2,Nariman Abbasov,28,4,0,5' 8,1,3,20,5.67,46,0,0,66,0
3,David Abbott,10,15,0,6' 0,2,1.35,30,3.55,38,1.07,33,66,0
4,Hamdy Abdelwahab,6,0,0,6' 2,3,3.87,52,3.13,59,3,75,0,0
5,Mansur Abdul-Malik,7,0,0,6' 2,1,6.61,54,4.21,53,0,0,75,0
6,Shamil Abdurakhimov,20,8,0,6' 3,1,2.41,44,3.02,55,1.01,23,45,0.1
7,Hiroyuki Abe,8,15,3,5' 6,1,1.71,36,3.11,63,0,0,33,0
8,Daichi Abe,6,2,0,5' 11,1,3.8,33,4.49,56,0.33,50,0,0
9,Papy Abedi,10,4,0,5' 11,3,2.8,55,3.15,48,3.47,57,50,1.3
10,Ricardo Abreu,5,1,0,5' 11,1,3.79,31,3.98,68,2.13,42,100,0.7
11,Klidson Abreu,15,4,0,6' 0,1,2.05,40,2.9,55,0.64,20,80,0
12,Daniel Acacio,30,18,0,5' 8,1,3.52,36,2.85,62,0.33,20,81,0
13,John Adajar,6,2,0,5' 9,1,3.9,52,6.28,44,0,0,0,0
14,Juan Adams,5,3,0,6' 5,1,7.09,55,4.06,34,0.91,66,57,0
15,Anthony Adams,8,2,0,6' 1,1,3.17,41,5.93,44,0,0,0,0
16,Zarrukh Adashev,4,4,0,5' 5,3,3.65,40,3.04,64,0,0,100,0.5
17,Israel Adesanya,24,5,0,6' 4,2,4,48,3.21,56,0.05,12,75,0.1
18,Mohamed Ado,5,1,0,5' 11,2,1.66,83,0.33,75,4.97,50,50,5
19,Nick Agallar,24,6,0,5' 8,1,0.69,11,4.56,42,0,0,0,0
20,Mariya Agapova,10,5,0,5' 6,3,4.43,54,3.62,52,0.55,66,45,0.8
21,Jessica Aguilar,20,8,0,5' 3,1,4.93,50,7.19,53,0.94,25,50,0.2
22,Kevin Aguilar,17,5,0,5' 7,1,3.96,40,4.81,52,0.16,16,78,0
23,Jesus Aguilar,11,2,0,5' 4,1,1.46,51,1.26,58,1.75,33,36,1.8
24,Christian Aguilera,14,8,0,5' 9,2,2.54,37,4.04,48,0,0,60,0
25,Nick Aguirre,7,2,0,5' 9,3,0.73,33,2.89,45,1.16,20,33,0.6
26,Mike Aina,14,6,1,5' 9,1,2.87,33,6.33,59,0,0,71,0
27,Ashiek Ajim,6,2,0,5' 8,2,5,40,11.25,25,0,0,0,0
28,Hitomi Akano,18,10,0,5' 4,3,0.59,45,2.58,55,0,0,8,0.5
29,Omari Akhmedov,21,6,1,6' 0,1,2.97,34,2.84,55,2.58,45,65,0.2
30,Yoshihiro Akiyama,14,6,0,5' 10,1,3.1,41,3.62,57,2.29,67,92,1
31,Rostem Akman,6,2,0,5' 10,2,1.8,25,3.97,57,1,40,87,0
32,Razak Al-Hassan,13,5,0,6' 2,1,3.27,39,3.14,60,0.65,14,57,0
33,Abdul-Kareem Al-Selwady,15,4,0,5' 8,1,4.14,34,3.6,59,2.32,30,20,0
34,Mostapha Al-Turk,6,6,0,6' 2,1,1.36,19,3.61,53,0,0,0,0
35,Herdem Alacabek,5,1,0,6' 2,1,3.84,65,6.66,23,2.06,50,42,0
36,Alatengheili,17,9,2,5' 5,1,2.64,32,4.67,57,1.99,45,75,0
37,Amir Albazi,17,2,0,5' 5,1,2.72,34,3.71,61,1.39,32,50,0.5
38,John Albert,6,5,0,5' 8,1,3.05,49,2.82,35,0,0,50,6.1
39,Junior Albini,14,6,0,6' 3,1,3.98,51,6.08,52,1.54,37,100,0
40,Aleksandra Albu,3,2,0,5' 2,1,4.83,47,5.56,38,2.27,50,77,0.4
41,Israel Albuquerque,0,3,0,0,1,0.32,13,3.34,25,0,0,0,0
42,Iuri Alcantara,35,10,0,5' 9,3,2.72,45,2.79,49,1.44,62,60,0.8
43,Ildemar Alcantara,21,11,0,6' 2,1,1.93,38,2.63,50,2,68,81,0.9
44,Gilbert Aldana,6,2,0,6' 1,1,2.91,54,6.26,26,2.57,40,33,0
45,Irene Aldana,15,8,0,5' 9,1,5.19,39,6.64,56,0.15,50,77,0.2
46,Hector Aldana,4,3,0,5' 11,1,3.59,38,5.08,59,0.93,100,0,0
47,Jose Alday,14,6,1,5' 7,1,3.13,44,3.13,58,0,0,57,0
48,Jose Aldo,32,9,0,5' 7,1,3.62,46,3.72,60,0.49,53,92,0.1
49,JJ Aldrich,13,7,0,5' 5,3,3.88,46,4.38,60,0.66,23,66,0
50,Irina Alekseeva,5,2,0,5' 8,1,3.84,43,3.55,48,0.87,20,100,0.9
51,Talita Alencar,5,1,1,5' 1,1,2.49,28,4.8,52,2,13,50,0
52,Jim Alers,13,3,0,5' 9,1,2.9,40,4.38,56,2.26,41,80,0.3
53,John Alessio,35,17,0,5' 10,1,2.1,39,2.91,54,1.85,38,70,1.2
54,Houston Alexander,17,15,1,6' 0,1,3.06,54,3.2,52,1.19,57,33,0
55,Kenneth Alexander,7,6,0,5' 9,1,0.88,19,2.2,66,4.71,26,0,0
56,Lucas Alexander,8,5,0,5' 11,1,5.23,55,1.83,71,0,0,57,0
57,Marcio Alexandre Junior,17,4,0,6' 0,3,1.61,45,2.89,42,0.35,20,66,0.7
58,Olaf Alfonso,8,12,0,6' 2,1,1.65,38,4.77,53,0.37,7,22,0.7
59,Bill Algeo,18,9,0,6' 0,2,5.88,51,4.38,47,1.03,50,55,0.1
60,Sultan Aliev,15,3,0,5' 11,1,1.41,45,2.2,56,1.76,38,100,0
61,Nurullo Aliev,10,0,0,5' 10,1,2.43,45,1.07,58,2.6,54,0,0
62,Ikram Aliskerov,15,2,0,6' 0,3,7.03,60,7.27,36,1.82,33,0,1.8
63,Leon Aliu,10,2,0,6' 0,1,6.32,50,10.11,38,0,0,0,0
64,John Allan,13,7,0,6' 1,1,3.56,42,5.74,52,1.4,71,50,0.8
65,George Allen,13,19,2,6' 2,4,0.8,38,3.1,43,0,0,50,0
66,Arnold Allen,20,3,0,5' 8,3,3.45,41,2.88,61,0.93,47,75,0.3
67,Brendan Allen,24,6,0,6' 2,1,3.79,53,3.83,46,1.67,39,58,1.3
68,Daniel Allen,5,0,0,6' 0,3,7.6,51,5.87,53,2,66,100,0
69,Ben Alloway,18,8,0,5' 11,1,1.28,49,1.9,59,0.62,50,26,0
70,Asu Almabayev,21,2,0,5' 4,1,2.11,56,1.02,59,5.08,50,50,1.7
71,Bekzat Almakhan,11,2,0,5' 7,1,0.2,18,4.53,30,0,0,0,0
72,John Dave Almanza,6,1,0,5' 7,3,1.92,41,5.75,27,0,0,0,0
73,Ricardo Almeida,13,5,0,6' 0,1,2.02,49,1.2,61,3.74,38,31,1.2
